periodIndex,sampleEvent,arrivalEvent,requestStartWaiting,requestType,requestWaitingTime,totalInQueue,requestProcessed,totalTimeInSystem,numberOfServers,requestCancelled,nextPeriodOptimalServers
109,72000.0,72000.0,72000.0,0.6692083333333333,0.6890462962861571,14.152958333333334,71993.0,2.3588588105646253,36.0,,36
110,72000.0,72000.0,72000.0,0.6685138888888889,0.6739775359692868,13.852430555555555,72000.0,2.3433630899611955,36.0,2.0,36
111,72000.0,72000.0,72000.0,0.665375,0.6682271705321872,13.733138888888888,72005.0,2.333436107688682,36.0,,36
112,72000.0,72000.0,72000.0,0.6679166666666667,0.6812659107363579,14.000944444444444,71999.0,2.350196176892612,36.0,,36
113,72000.0,72000.0,72000.0,0.6672361111111111,0.6761705090470851,13.892111111111111,72000.0,2.3435535141277715,36.0,2.0,36
114,72000.0,72000.0,72000.0,0.6624583333333334,0.6715971857140296,13.797680555555555,72000.0,2.3338939419047455,36.0,,36
115,72000.0,72000.0,72000.0,0.6656944444444445,0.6545556992901532,13.463083333333334,71994.0,2.3188041211824015,36.0,2.0,36
116,72000.0,72000.0,72000.0,0.6703888888888889,0.6861154503869439,14.096027777777778,71996.0,2.3558822998074733,36.0,,36
117,72000.0,72000.0,72000.0,0.6661944444444444,0.6806329828195531,13.981736111111111,72006.0,2.3474076002355493,36.0,,34
118,72000.0,69446.0,69446.0,0.666071479998848,1.0053897912916148,19.809261872534055,69446.0,2.672219311405251,35.0,4.0,32
119,72000.0,64014.0,64014.0,0.6663229918455338,0.7278234926414854,13.353875714687412,64023.0,2.395113852924664,33.0,,28
120,72000.0,52540.0,52540.0,0.6630186524552721,0.2959210511777315,4.668633422154549,52554.0,1.9594757700969552,30.0,,28
121,72000.0,42624.0,42624.0,0.6663851351351351,0.01762594773161732,0.27871621621621623,42631.0,1.683102913512706,28.0,,20
122,72000.0,39068.0,39068.0,0.66563427869356,0.6099720652752657,7.10535476604894,39057.0,2.2751152775449084,24.0,,20
123,72000.0,37773.0,37773.0,0.6627485240780452,0.3974518519424589,4.596378365499166,37787.0,2.060735393064854,20.0,,20
124,72000.0,38658.0,38658.0,0.6692275854933002,0.5362250254339517,6.2173159501267525,38652.0,2.205297394255852,20.0,,28
125,72000.0,48103.0,48103.0,0.6662993992058708,0.09492633722488829,1.4913414963723677,48100.0,1.7616729560203495,24.0,,30
126,72000.0,60346.0,60346.0,0.6652470751996818,0.7960975188014432,13.776174062903921,60334.0,2.4602392721351456,29.0,,34
127,72000.0,68792.0,68792.0,0.6672578206768229,0.8497994742498094,16.64857832306082,68783.0,2.517709185702249,32.0,2.0,36
128,72000.0,72000.0,72000.0,0.6664305555555555,0.667355872835156,13.712319444444445,72001.0,2.3336374953134724,35.0,1.0,36
