,periodIndex,totalInQueue,requestStartWaiting,arrivalEvent,requestWaitingTime,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
143,143,15.22039189704672,69575,69575,0.7314902267983734,69565,2.3974274449595234,2.0,26.0,35,59059.0,43104.0
144,144,10.412534177579507,50883,50883,0.6458033279939639,50904,2.3181537969738124,0.0,22.0,26,43104.0,35863.0
145,145,7.311340849829226,42453,42453,0.5235868857309828,42463,2.192112484834305,0.0,21.0,22,35863.0,34315.0
146,146,7.130855260638094,40620,40620,0.5321507177210794,40615,2.1977521465629484,0.0,20.0,21,34315.0,33160.0
147,147,8.948636533432948,39160,39160,0.6949499906922983,39166,2.3611379802863053,2.0,21.0,20,33160.0,34322.0
148,148,7.613054275910444,40625,40625,0.5675846779757743,40622,2.2377207425294228,0.0,24.0,21,34322.0,40324.0
149,149,11.03505237114624,47538,47538,0.7528154673386422,47536,2.419176325152653,4.0,31.0,24,40324.0,51134.0
150,150,10.363240561440811,60447,60447,0.5438347067751138,60434,2.2044173024196896,0.0,36.0,31,51134.0,60581.0
151,151,15.664610434473635,71393,71393,0.7227987274956347,71381,2.3874442146825023,0.0,39.0,36,60581.0,65981.0
152,152,17.011958080334225,77686,77686,0.7359960312481205,77687,2.4032615974751823,2.0,41.0,39,65981.0,69831.0
153,153,19.87407931079837,82145,82145,0.818419160710688,82146,2.4846235448747533,5.0,42.0,41,69831.0,71130.0
154,154,18.05749827455878,83744,83744,0.7250820254386083,83730,2.3915334405918456,0.0,43.0,42,71130.0,73986.0
155,155,25.012458484130885,86914,86914,0.9785929425132835,86922,2.647589613834506,12.0,42.0,43,73986.0,71123.0
156,156,18.19820707319476,83733,83733,0.7342084302084316,83735,2.402056690503429,4.0,42.0,42,71123.0,70374.0
157,157,16.078021219701544,82976,82976,0.6429717540273372,82974,2.308514423523357,0.0,41.0,42,70374.0,70649.0
158,158,25.11518063268235,82999,82999,1.021304391190413,82964,2.6866310264965354,5.0,40.0,41,70649.0,67126.0
159,159,16.229871298712986,79097,79097,0.679649577616274,79126,2.346114119290633,0.0,40.0,40,67126.0,67760.0
160,160,18.437477927559325,79753,79753,0.77666476870659,79760,2.4432478158716275,0.0,39.0,40,67760.0,66076.0
161,161,18.10597447078971,77782,77782,0.7734092129821665,77788,2.439634925828733,4.0,39.0,39,66076.0,66733.0
162,162,20.35470096310765,78465,78465,0.8779778053493295,78457,2.545184599418973,8.0,42.0,39,66733.0,71164.0
163,163,18.596246564973423,83771,83771,0.742246835741525,83767,2.406353479389168,1.0,43.0,42,71164.0,72629.0
164,164,18.183733082340723,85531,85531,0.7198461923148365,85529,2.3868730831975142,0.0,42.0,43,72629.0,71382.0
165,165,19.02090476537866,83977,83977,0.7681454110692293,83985,2.4349062090718,1.0,38.0,42,71382.0,64284.0
166,166,16.30198693772422,75685,75685,0.7200045833975469,75687,2.383366415970392,1.0,35.0,38,64284.0,60023.0
167,167,18.7415397313724,70524,70524,0.9001475427670705,70532,2.565153980708743,3.0,21.0,35,60023.0,34039.0
168,168,7.173037756540811,40310,40310,0.5330009625501632,40339,2.2031256308725737,0.0,18.0,21,34039.0,28870.0
169,169,5.637555427029112,34277,34277,0.4704824537223492,34270,2.137188287975749,0.0,16.0,18,28870.0,25387.0
170,170,4.906673901247966,30189,30189,0.4416229690783923,30187,2.104502520492732,0.0,13.0,16,25387.0,20563.0
171,171,4.353816142404292,24450,24450,0.4722864246527714,24463,2.140463658571306,0.0,15.0,13,20563.0,23100.0
172,172,3.880869535260275,27612,27612,0.3486369700923272,27600,2.0131817993438936,0.0,19.0,15,23100.0,31147.0
173,173,6.940742439085395,36862,36862,0.5731618362650924,36847,2.236591501449899,0.0,24.0,19,31147.0,39975.0
174,174,10.216719686773525,47182,47182,0.6863079901631359,47184,2.355881395773695,3.0,27.0,24,39975.0,46010.0
175,175,15.166452394491555,54105,54105,0.919619045792118,54116,2.5874656788747736,2.0,30.0,27,46010.0,51209.0
176,176,17.493199531915835,60246,60246,0.9537154456195006,60236,2.621952133695315,9.0,31.0,30,51209.0,52642.0
177,177,16.217766014458675,61962,61962,0.8605474437544967,61951,2.5268812514407157,3.0,32.0,31,52642.0,54264.0
178,178,15.93923328329767,63854,63854,0.8277599200532568,63864,2.496328105350868,0.0,34.0,32,54264.0,56457.0
179,179,12.450302649422817,66668,66668,0.6046949102714616,66660,2.2723756979381995,1.0,32.0,34,56457.0,54422.0
180,180,16.287633613587392,64025,64025,0.8400415413307913,64037,2.506579704060096,5.0,33.0,32,54422.0,55124.0
181,181,12.68612719951459,65040,65040,0.6379914126592563,65024,2.3068323956617647,0.0,32.0,33,55124.0,54728.0
182,182,17.459602253416687,64333,64333,0.9115896757601106,64337,2.5798131521120027,3.0,31.0,32,54728.0,52576.0
183,183,15.068615817346782,61875,61875,0.8105154510643988,61876,2.477998950845077,0.0,30.0,31,52576.0,51514.0
184,184,17.713905998142593,60529,60529,0.9818495574416388,60523,2.653117242148613,3.0,30.0,30,51514.0,50006.0
185,185,11.452338463826306,58992,58992,0.6250520237457665,59006,2.287849655498513,0.0,32.0,30,50006.0,53384.0
186,186,12.39678856932831,62983,62983,0.6415898380164913,62984,2.309151241192086,0.0,33.0,32,53384.0,56289.0
187,187,17.47612840643851,66201,66201,0.8838595480815048,66192,2.551650410325029,1.0,34.0,33,56289.0,56459.0
188,188,12.642677962372098,66661,66661,0.6082791390921618,66662,2.2765798749914485,1.0,33.0,34,56459.0,56244.0
189,189,16.66543226159918,66166,66166,0.8516344688469333,66153,2.5188772824130314,3.0,30.0,33,56244.0,49842.0
190,190,10.990106243344313,58824,58824,0.6045023599584325,58842,2.2736640227272837,0.0,28.0,30,49842.0,46448.0
191,191,10.417377528637582,54852,54852,0.6053021987785242,54848,2.269818774533219,0.0,19.0,28,46448.0,30483.0
192,192,5.423297350795222,36172,36172,0.4407371394396595,36183,2.107047787893834,0.0,17.0,19,30483.0,28097.0
193,193,7.370150778318123,33198,33198,0.6749108762985013,33197,2.34145717895039,0.0,15.0,17,28097.0,24401.0
194,194,5.79632,28886,28886,0.59119098648805,28901,2.2638532594918197,0.0,16.0,15,24401.0,25162.0
195,195,4.283012176380187,29954,29954,0.3931413251346133,29962,2.058826646713064,0.0,16.0,16,25162.0,25366.0
196,196,4.943114362076241,30180,30180,0.4502872461398254,30166,2.1210602694958123,0.0,18.0,16,25366.0,29302.0
197,197,6.522894856622667,34701,34701,0.5524934375969653,34705,2.2148673470811624,1.0,24.0,18,29302.0,40391.0
198,198,10.72705941755647,47608,47608,0.7157314827826796,47594,2.3769593146910086,1.0,27.0,24,40391.0,45946.0
199,199,15.43032690425756,54056,54056,0.9326426817814224,54052,2.600522197833977,2.0,30.0,27,45946.0,50597.0
200,200,13.470779867580712,59600,59600,0.737787076324947,59603,2.4036658916970843,2.0,32.0,30,50597.0,53464.0
201,201,12.762504303913692,63061,63061,0.6581697679338054,63064,2.3225461729578583,0.0,33.0,32,53464.0,55508.0
202,202,14.39381954613962,65422,65422,0.7236447071221481,65411,2.3917634880308074,1.0,33.0,33,55508.0,55887.0
203,203,15.294647412204442,65788,65788,0.7667809931914187,65793,2.4341505171761835,2.0,33.0,33,55887.0,55767.0
204,204,15.32603015075377,65679,65679,0.7685410570775985,65679,2.4324363712854717,4.0,32.0,33,55767.0,54157.0
205,205,14.747948926922032,63778,63778,0.761872056242173,63769,2.4266783430954035,4.0,31.0,32,54157.0,52617.0
206,206,15.396299934873555,61937,61937,0.8171229305321287,61926,2.48000588226045,3.0,31.0,31,52617.0,52036.0
207,207,12.776649687694473,61325,61325,0.684811206763595,61345,2.3541903979319905,3.0,31.0,31,52036.0,51248.0
208,208,11.04024354024354,60545,60545,0.5797657077260219,60548,2.245838270841389,0.0,30.0,31,51248.0,49975.0
209,209,11.55426523650604,58989,58989,0.6361067336211856,58981,2.303660496856597,2.0,31.0,30,49975.0,52413.0
210,210,13.814878581234668,61734,61734,0.7398991942931311,61719,2.4045960832853748,2.0,33.0,31,52413.0,55845.0
211,211,15.470977954357238,65743,65743,0.7818691680285923,65751,2.448542699294684,2.0,33.0,33,55845.0,56435.0
212,212,17.520796224174543,66350,66350,0.8831432488153323,66341,2.547001504961308,2.0,33.0,33,56435.0,55137.0
213,213,13.04985691785532,65025,65025,0.6607577088832655,65040,2.329433977935372,1.0,30.0,33,55137.0,49622.0
