,periodIndex,arrivalEvent,requestStartWaiting,requestType,requestWaitingTime,totalInQueue,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
151,151,69272,69272,0.6651172190784155,0.6929190506298872,13.862397505485625,69293,2.3582929664553105,0.0,39.0,35,58793.0,65126.0
152,152,76841,76841,0.665881495555758,0.6183361358774105,13.703660806080087,76826,2.2840525601069777,0.0,41.0,39,65126.0,69475.0
153,153,81779,81779,0.6657699409383827,0.7552646575637781,17.68420988273273,81778,2.4209123354515087,1.0,42.0,41,69475.0,72015.0
154,154,84631,84631,0.6669069253583202,0.9094981754280904,21.96133804397916,84627,2.577775245840281,4.0,43.0,42,72015.0,73283.0
155,155,86187,86187,0.6659705059927832,0.8344447743178368,20.554190307122884,86192,2.5016593468855666,3.0,42.0,43,73283.0,71590.0
156,156,84185,84185,0.6661400487022628,0.8265287342105672,19.91573320662826,84190,2.4929225078800967,0.0,42.0,42,71590.0,70491.0
157,157,83122,83122,0.6691249007482977,0.6721565504532676,16.068982940737712,83091,2.3411777508456995,0.0,41.0,42,70491.0,70263.0
158,158,82578,82578,0.668483131100293,0.9265397366910336,21.882462641381483,82596,2.594730543768163,11.0,40.0,41,70263.0,66719.0
159,159,78710,78710,0.665582518104434,0.6198048537041736,14.083547198577056,78725,2.286324433236223,2.0,39.0,40,66719.0,67632.0
160,160,79377,79377,0.6683296168915429,1.0973008558483683,24.79005253410938,79371,2.765485751493172,13.0,39.0,39,67632.0,66102.0
161,161,77816,77816,0.6673948802302868,0.7698236429603407,17.188046160172714,77811,2.437225545546681,3.0,40.0,39,66102.0,67091.0
162,162,79112,79112,0.6662074021640206,0.6418408598267079,14.642329861462231,79091,2.3074615715279294,0.0,42.0,40,67091.0,71829.0
163,163,84425,84425,0.6651821143026355,0.8592171667375568,20.697021024578028,84438,2.5250420008474106,3.0,43.0,42,71829.0,74059.0
164,164,86979,86979,0.6687476287379712,0.998073023380284,24.70899872382989,86983,2.6676263973556016,8.0,42.0,43,74059.0,71427.0
165,165,84030,84030,0.6679638224443651,0.8262342051580692,19.886600023801023,84033,2.4946773409439387,2.0,37.0,42,71427.0,63241.0
166,166,74382,74382,0.6628619827377591,0.8640955284090628,18.462410260546907,74365,2.5259887167341364,8.0,35.0,37,63241.0,60334.0
167,167,70830,70830,0.6710433432161513,1.0343458906524148,20.92000564732458,70852,2.7058836065912786,6.0,21.0,35,60334.0,34234.0
168,168,40516,40516,0.6665761674400237,0.5331349912402393,6.474108993977688,40537,2.201948507988098,1.0,18.0,21,34234.0,29344.0
169,169,34738,34738,0.6691231504404399,0.5840020604133331,6.147475387184064,34750,2.253527976017911,2.0,14.0,18,29344.0,23115.0
170,170,27313,27313,0.6671182220920441,0.7734002505997549,6.399553326254897,27315,2.440563681224607,0.0,16.0,14,23115.0,25601.0
171,171,30408,30408,0.6650552486187845,0.5025059675500871,4.723658247829518,30401,2.1664033594625858,0.0,15.0,16,25601.0,24026.0
172,172,28520,28520,0.6638849929873772,0.5011276158059748,4.4325035063113605,28526,2.165092620536902,0.0,18.0,15,24026.0,28572.0
173,173,33981,33981,0.665077543333039,0.4353508311253612,4.560813395721138,33972,2.1007736656904337,0.0,25.0,18,28572.0,41842.0
174,174,49362,49362,0.66737571411207,0.7061950814056531,10.184554920789273,49342,2.373239989207885,0.0,27.0,25,41842.0,46386.0
175,175,54495,54495,0.6660978071382696,1.0074854508321214,15.819065969354988,54507,2.6742467266482404,7.0,29.0,27,46386.0,48943.0
